id,studyid,Paper,acreage,year,peer_review,methodology,nation,wl_policy,ecosystemservicesgoal,usepenalties,useincentives,low_lowmid_uppmid_high,latitude,longitude,pop_Density,agProd,pcgdp,amphibians,birds,Cpi_new/cpiold,provisioning_US_ha,regulation_US_ha,id_prov,id_regul,Provisioning,Regulation,X27,lnprov,lnregul,lnyear,lnacre,lnpop,lnpcgdp,lnagprod,lnamphibians,lnbirds,low_income,high_income,lat_mod,log_mod,lnlat,lnlong,value
20,39,Schuijt(2002),350000,6,0,1,Nigeria,0,0,0,0,1,12.4183,10.0644,307.33,97,2396,15,341,6.045820745,81.41220707,6.520055934,1,1,29715.45558,2379.820416,NA,4.41173357,2.017573576,2.079441542,12.76569129,5.731170638,7.781973234,4.574710979,2.772588722,5.834810737,1,0,50.4183,138.0644,3.920354204,4.927720243,7.520055934
21,41,Simonit et all. (2011,137125,17,1,1,Kenya,0,1,1,1,0,-0.5875,34.0211,273.67,86,1202,21,114,1.369055745,0,0.17,0,1,0,62.05,NA,0,0.157003749,2.944438979,11.82865549,5.615570377,7.092573716,4.454347296,3.091042453,4.744932128,0,0,37.4125,162.0211,3.622004873,5.087726574,1.17
18,39,Schuijt 2002,529,17,0,1,Uganda,1,1,1,1,0,0.295,32.6319,6235.52,64,710,29,97,1.24188097,47.77978521,0.371968219,1,1,17439.6216,135.7683999,NA,3.88731599,0.316246365,2.944438979,6.272877007,8.738177613,6.56667243,4.158883083,3.401197382,4.584967479,0,0,38.295,160.6319,3.645319339,5.079115412,1.371968219
15,37,Roley et al. (2016),0.7,20,1,1,United States,1,1,1,1,3,43.6124115,-94.9172527,2.256839,118,54579,5,153,1.04595822,0,2237.5,0,1,0,816687.5,NA,0,7.713561278,3.091042453,0.530628251,1.180757093,10.90742279,4.770684624,1.791759469,5.036952602,0,1,81.6124115,33.0827473,4.401981352,3.499011917,2238.5
16,38,Rouquette et al. (2011) a,900,15,1,0,United Kingdoms,0,1,0,1,3,53.3942038,-0.7790899,909.334473,107,43324,5,141,1.132134272,5800,6864.88326,1,1,2117000,2505682.39,NA,8.665785595,8.834319971,2.833213344,6.803505258,6.813812085,10.67648511,4.672828834,1.791759469,4.955827058,0,1,91.3942038,127.2209101,4.515182061,4.845925025,6865.88326
12,29,Meyerhoff,15000,8,0,1,Germany,1,1,1,1,3,52.3181,11.7511,30.96,122,47477.8,13,177,1.234706205,0,425,0,1,0,155125,NA,0,6.054439346,2.302585093,9.615872145,3.464485121,10.76803857,4.804021045,2.63905733,5.18178355,0,1,90.3181,139.7511,4.503337883,4.939862983,426
13,29,Meyerhoff,15000,8,0,1,Germany,1,1,1,1,3,52.7942,12.0511,50.17,122,47477.8,13,169,1.234706205,0,7735,0,1,0,2823275,NA,0,8.953640037,2.302585093,9.615872145,3.935153423,10.76803857,4.804021045,2.63905733,5.135798437,0,1,90.7942,140.0511,4.508595407,4.942007356,7736
5,13,Golterman (1995) a,93000,-1,1,0,France,1,1,1,1,3,43.538594,4.55246,10,120,43663,8,206,1.369573424,0,5272.56,0,1,0,1924484.4,NA,0,8.570460935,0,11.44036552,2.397895273,10.68427924,4.787491743,2.197224577,5.332718793,0,1,81.538594,132.55246,4.401076454,4.886978492,5273.56
6,15,Hao et al. (2012),140000,16,1,1,China,1,1,0,1,2,47.5,134.16667,37.196835,148,7752,10,217,1.122230428,5112.5,336.6675068,1,1,1866062.5,122883.64,NA,8.53963938,5.822061704,2.890371758,11.84940484,3.642752659,8.955835144,4.997212274,2.397895273,5.384495063,0,0,85.5,262.16667,4.448516376,5.568980447,337.6675068
23,45,Wang et al. (2015),762600,19,1,0,China,1,1,0,1,2,46.01542,132.1458,9.309196,148,7752,10,204,1.057779325,60.93,1.535287671,1,1,22239.45,560.3799999,NA,4.126004715,0.93030711,3.044522438,13.54449024,2.333036312,8.955835144,4.997212274,2.397895273,5.323009979,0,0,84.01542,260.1458,4.431000353,5.561242243,2.535287671
22,44,Verhoeven and Setter (2010),2.70E+07,14,1,0,South East Asia,1,1,0,1,1,16.0740166,104.9973511,42.32003,181,1888,26,280,NA,0,0.26290411,0,1,0,95.96000015,NA,0,0.233413918,2.772588722,17.11134746,3.768615115,7.543802868,5.198497031,3.295836866,5.638354669,1,0,54.0740166,232.9973511,3.990353786,5.451027085,1.26290411
14,36,Ribaudo et al. (2001),181299,5,1,1,United States,1,1,1,1,3,45.0025174,-93.256881,3648.111572,118,54579,12,170,1.418226601,0,974.21,0,1,0,355586.65,NA,0,6.882652832,1.945910149,12.1079084,8.202239012,10.90742279,4.770684624,2.564949357,5.141663557,0,1,83.0025174,34.743119,4.418870937,3.547981538,975.21
3,11,Duffy and Kahara (2011),198246,15,1,0,United States,1,1,1,1,3,38.169114,-120.948486,49.650932,118,54579,10,200,1.116324157,12341.87,263.11,1,1,4504782.55,96035.15,NA,9.420833847,5.576365683,2.833213344,12.19726901,3.924957631,10.90742279,4.770684624,2.397895273,5.303304908,0,1,76.169114,7.051514,4.332956052,1.953242346,264.11
4,12,Gleason et al. (2011),444574,15,1,0,United States,1,1,1,1,3,49.45233152,-103.4218316,0.435943,118,54579,6,166,1.116324157,266.95,51.36,1,1,97436.75,18746.4,NA,5.590800396,3.958142941,2.833213344,13.00487405,0.361821776,10.90742279,4.770684624,1.945910149,5.117993812,0,1,87.45233152,24.5781684,4.471093862,3.201858585,52.36
8,19,Karpuzcu and Stringfellow (2012),11500,16,1,0,United States,1,1,1,1,3,37.59175,-121.16156,5.227108,118,54579,4,210,1.093637227,0,4234.84,0,1,0,1545716.6,NA,0,8.351336935,2.890371758,9.350189267,1.82891202,10.90742279,4.770684624,1.609437912,5.351858133,0,1,75.59175,6.83844,4.32534715,1.922559635,4235.84
10,25,Leschine et al. 1997,76.5,1,0,1,US,1,1,1,1,3,47.8097,-122.2917,497.43,118,54579,11,199,1.56446135,0,29149.92,0,1,0,10639720.8,NA,0,10.28024175,1.098612289,4.350277936,6.211463158,10.90742279,4.770684624,2.48490665,5.298317367,0,1,85.8097,5.7083,4.452132054,1.741921256,29150.92
11,25,Leschine et al. 1998,43.3,1,0,1,US,1,1,1,1,3,47.4431,-122.2655,6.51,118,54579,11,189,1.56446135,0,104966,0,1,0,38312590,NA,0,11.56140129,1.098612289,3.790984677,2.016235466,10.90742279,4.770684624,2.48490665,5.247024072,0,1,85.4431,5.7345,4.447850657,1.746500563,104967
19,40,Schuijt and Brander,3455,8,0,1,US,1,1,1,1,3,42.3555,-71.0687,10164.5,118,54579,19,221,#REF!,8871,18703,1,1,3237915,6826595,NA,9.090655529,9.836492684,2.302585093,8.14786713,9.226754913,10.90742279,4.770684624,2.995732274,5.402677382,0,1,80.3555,56.9313,4.38646054,4.041845278,18704
2,7,Colloff et al. (2016) a,6.00E+06,20,1,0,Australia,0,0,0,1,3,-35.113509,139.26461,535.584595,115,56842,7,277,1.038949595,911.87,0.80230137,1,1,332832.55,292.8400001,NA,6.816593483,0.589064387,3.091042453,15.60727019,6.285224229,10.94804836,4.744932128,2.079441542,5.627621114,0,1,2.886491,267.26461,1.060041578,5.588239216,1.80230137
9,21,L. Emerton (ed) 2005,13800000,8,0,1,Brazil,1,1,1,1,2,-17.6406,-57.435,0,135,11026,40,408,#REF!,4.00E-04,6.00E-04,1,1,0.146,0.219,NA,0.00039992,0.00059982,2.302585093,16.44017922,0,9.30810209,4.905274778,3.713572067,6.013715156,0,0,20.3594,70.565,3.013542722,4.256534271,1.0006
